"AgeRange","EducationLevel","LivingSituation","RentBudget","ImportantHousingFactors","AwarenessSemesterLeasing","LikelihoodSemesterHousing","OpennessSubleasing","NeedsMetCurrentHousing","ChallengesCurrentHousing","PreferredFeaturesSemesterLeasing","ImportanceCommunityEvents"
"23-26","Undergraduate","On-campus housing","$1001 - $1500","Proximity to campus, Roommate preferences, Safety, Amenities","Somewhat aware","Neutral","Definitely open","Does not meet my needs","Inadequate amenities, High cost","Safety ratings, Price range options, Roommate matching service","Not important at all"
"18-22","Graduate","Off-campus apartment/house","Over $1500","Proximity to campus, Safety","Very aware","Unlikely","Not open","Somewhat meets my needs","High cost, Safety concerns, Inadequate amenities, Distance from campus","Roommate matching service, Safety ratings, Community events and networking opportunities, Proximity to campus filter","Very important"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Amenities","Very aware","Very unlikely","Maybe open","Does not meet my needs","Safety concerns, High cost","Proximity to campus filter, Safety ratings, Community events and networking opportunities","Somewhat important"
"18-22","Undergraduate","Living with family","$500 - $1000","Safety, Roommate preferences","Very aware","Very likely","Maybe open","Barely meets my needs","Inadequate amenities, Safety concerns, High cost","Roommate matching service, Safety ratings, Price range options","Not very important"
"23-26","Undergraduate","Off-campus apartment/house","Less than $500","Safety, Roommate preferences","Very aware","Neutral","Neutral","Mostly meets my needs","High cost","Safety ratings","Very important"
"23-26","Undergraduate","Living with family","$500 - $1000","Safety","Neutral","Unlikely","Neutral","Barely meets my needs","Distance from campus, Safety concerns, Inadequate amenities","Community events and networking opportunities, Safety ratings","Not important at all"
"18-22","Undergraduate","On-campus housing","$1001 - $1500","Roommate preferences","Neutral","Unlikely","Definitely open","Somewhat meets my needs","High cost","Safety ratings, Proximity to campus filter, Price range options, Community events and networking opportunities","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","Less than $500","Safety","Not aware","Very likely","Maybe open","Does not meet my needs","Inadequate amenities, High cost, Safety concerns","Price range options, Safety ratings, Proximity to campus filter, Community events and networking opportunities, Roommate matching service","Very important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Proximity to campus, Roommate preferences, Safety","Very aware","Likely","Neutral","Somewhat meets my needs","High cost, Distance from campus, Safety concerns, Inadequate amenities","Price range options, Safety ratings, Roommate matching service, Proximity to campus filter","Very important"
"18-22","Graduate","Off-campus apartment/house","$500 - $1000","Proximity to campus, Roommate preferences","Somewhat aware","Very unlikely","Definitely open","Barely meets my needs","High cost","Community events and networking opportunities, Roommate matching service","Somewhat important"
"23-26","Undergraduate","On-campus housing","$1001 - $1500","Amenities, Safety","Very aware","Very likely","Maybe open","Somewhat meets my needs","Safety concerns, Distance from campus, High cost","Safety ratings, Community events and networking opportunities, Roommate matching service","Somewhat important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Amenities","Somewhat aware","Likely","Not open","Mostly meets my needs","Inadequate amenities, Distance from campus","Community events and networking opportunities, Roommate matching service","Not very important"
"23-26","Undergraduate","Living with family","$500 - $1000","Amenities, Roommate preferences, Safety, Proximity to campus","Neutral","Likely","Definitely open","Barely meets my needs","Inadequate amenities, Safety concerns, Distance from campus, High cost","Price range options, Roommate matching service, Community events and networking opportunities","Not very important"
"23-26","Graduate","Living with family","$500 - $1000","Proximity to campus, Roommate preferences, Safety","Not aware","Unlikely","Not open","Does not meet my needs","Inadequate amenities, High cost","Roommate matching service, Price range options, Safety ratings","Somewhat important"
"23-26","Undergraduate","Off-campus apartment/house","$500 - $1000","Proximity to campus","Not aware","Likely","Not open","Barely meets my needs","Safety concerns","Safety ratings, Price range options, Community events and networking opportunities, Roommate matching service, Proximity to campus filter","Not very important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Roommate preferences, Safety, Amenities","Not aware","Neutral","Neutral","Barely meets my needs","Inadequate amenities, High cost, Safety concerns, Distance from campus","Proximity to campus filter, Community events and networking opportunities, Price range options","Not very important"
"18-22","Undergraduate","Living with family","$500 - $1000","Amenities, Proximity to campus, Safety","Neutral","Unlikely","Not open","Barely meets my needs","Distance from campus","Roommate matching service, Community events and networking opportunities, Proximity to campus filter","Very important"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Amenities, Roommate preferences","Not aware","Very likely","Neutral","Mostly meets my needs","Inadequate amenities, Safety concerns, Distance from campus, High cost","Safety ratings, Community events and networking opportunities, Price range options, Proximity to campus filter","Very important"
"23-26","Undergraduate","Off-campus apartment/house","Less than $500","Roommate preferences","Neutral","Unlikely","Maybe open","Does not meet my needs","High cost, Safety concerns","Price range options, Safety ratings, Community events and networking opportunities","Somewhat important"
"18-22","Undergraduate","Living with family","Over $1500","Safety, Proximity to campus","Very aware","Very likely","Neutral","Barely meets my needs","Safety concerns, Distance from campus, High cost, Inadequate amenities","Roommate matching service","Not very important"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Amenities, Roommate preferences","Very aware","Likely","Neutral","Somewhat meets my needs","Inadequate amenities, Distance from campus, Safety concerns, High cost","Price range options, Roommate matching service","Somewhat important"
"18-22","Undergraduate","Living with family","Over $1500","Safety, Amenities, Proximity to campus","Not aware","Very unlikely","Definitely open","Does not meet my needs","Inadequate amenities, High cost, Safety concerns","Safety ratings, Community events and networking opportunities, Roommate matching service","Very important"
"23-26","Graduate","On-campus housing","$1001 - $1500","Safety, Proximity to campus","Neutral","Unlikely","Neutral","Somewhat meets my needs","Inadequate amenities, Distance from campus, Safety concerns","Community events and networking opportunities, Proximity to campus filter, Safety ratings, Roommate matching service","Very important"
"18-22","Graduate","On-campus housing","$500 - $1000","Proximity to campus, Amenities, Roommate preferences, Safety","Neutral","Very likely","Definitely open","Does not meet my needs","Distance from campus","Safety ratings, Community events and networking opportunities, Roommate matching service, Proximity to campus filter, Price range options","Not important at all"
"23-26","Graduate","Off-campus apartment/house","$1001 - $1500","Roommate preferences, Proximity to campus","Not aware","Very unlikely","Maybe open","Somewhat meets my needs","Distance from campus","Price range options","Not very important"
